Name,URL,Remote Testing,Adaptive/IRT,Test Types,Job Level,Completion Time,Languages,Description,context
Branch Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,Yes Remote Testing,No IRT,"Ability and aptitude, Biodata and situational Judgement, Personalities and behavior","Front Line Manager, Manager, Supervisor,",Approximate Completion Time in minutes = 50,"English (USA),","This solution is for mid to upper-level financial institution managerial positions. Candidates answer a series of multiple choice questions to measure management potential, management judgment, leadership potential, team management, branch manager problem solving, business leadership, leadership motivation, interpersonal leadership, self leadership, and branch manager judgment. There are multiple configurations and versions of this solution available.","passage: Branch Manager - Short Form | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Ability and aptitude, Biodata and situational Judgement, Personalities and behavior | Job Level: Front Line Manager, Manager, Supervisor, | Completion Time: Approximate Completion Time in minutes = 50 | Languages: English (USA), | Description: This solution is for mid to upper-level financial institution managerial positions. Candidates answer a series of multiple choice questions to measure management potential, management judgment, leadership potential, team management, branch manager problem solving, business leadership, leadership motivation, interpersonal leadership, self leadership, and branch manager judgment. There are multiple configurations and versions of this solution available."
Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,Yes Remote Testing,Yes IRT,"Biodata and situational Judgement, Ability and aptitude, Personalities and behavior","Entry-Level,",Approximate Completion Time in minutes = 28,"English (USA),","The Cashier solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. Potential job titles that use this solution are: Cashier, Sales Associate, and Clerk. There are multiple configurations and versions of this solution available.","passage: Cashier Solution | Remote Testing: Yes Remote Testing | Adaptive/IRT: Yes IRT | Test Types: Biodata and situational Judgement, Ability and aptitude, Personalities and behavior | Job Level: Entry-Level, | Completion Time: Approximate Completion Time in minutes = 28 | Languages: English (USA), | Description: The Cashier solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. Potential job titles that use this solution are: Cashier, Sales Associate, and Clerk. There are multiple configurations and versions of this solution available."
Claims/Operations Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/claimsoperations-supervisor-solution/,Yes Remote Testing,Yes IRT,"Personalities and behavior, Simulations, Ability and aptitude, Biodata and situational Judgement","Manager,",Approximate Completion Time in minutes = 48,"English (USA),","The Claims/Operations Supervisor solution is for entry-level management positions that involve supervising hourly employees.  Sample tasks for this job include, but are not limited to: planning and preapring work schedules; assigning employees to specific dutites; coaching employees on attendance, conduct, schedule adherence, and work tasks; developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; making day-to-day decisions with minimal guidance from others.  Potential job titles that use this solution are: Team Leader, Coach, First Line Supervisor, Claims Supervisor, Operations Supervisor, and Customer Service Supervisor.  Multiple configurations of this solution are available.","passage: Claims/Operations Supervisor Solution | Remote Testing: Yes Remote Testing | Adaptive/IRT: Yes IRT | Test Types: Personalities and behavior, Simulations, Ability and aptitude, Biodata and situational Judgement | Job Level: Manager, | Completion Time: Approximate Completion Time in minutes = 48 | Languages: English (USA), | Description: The Claims/Operations Supervisor solution is for entry-level management positions that involve supervising hourly employees.  Sample tasks for this job include, but are not limited to: planning and preapring work schedules; assigning employees to specific dutites; coaching employees on attendance, conduct, schedule adherence, and work tasks; developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; making day-to-day decisions with minimal guidance from others.  Potential job titles that use this solution are: Team Leader, Coach, First Line Supervisor, Claims Supervisor, Operations Supervisor, and Customer Service Supervisor.  Multiple configurations of this solution are available."
Contact Center Customer Service + 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0/,Yes Remote Testing,No IRT,"Ability and aptitude, Biodata and situational Judgement, Competencies, Personalities and behavior, Simulations","Entry-Level,",Approximate Completion Time in minutes = 41,"English (USA), English International, French, German, Latin American Spanish, Chinese Simplified, Portuguese (Brazil), Japanese,","The Contact Center + 8.0 - Customer Service Job Focused Assessment is designed to measure the skills, competencies, and behaviors needed for success in contact center roles where the main focus is customer service. This JFA includes a mobile-optimized contact center simulation, a behavioral assessment, and a cognitive test. Together, these assessments capture the ability to provide exceptional customer service in entry-level contact center roles.","passage: Contact Center Customer Service + 8.0 | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Ability and aptitude, Biodata and situational Judgement, Competencies, Personalities and behavior, Simulations | Job Level: Entry-Level, | Completion Time: Approximate Completion Time in minutes = 41 | Languages: English (USA), English International, French, German, Latin American Spanish, Chinese Simplified, Portuguese (Brazil), Japanese, | Description: The Contact Center + 8.0 - Customer Service Job Focused Assessment is designed to measure the skills, competencies, and behaviors needed for success in contact center roles where the main focus is customer service. This JFA includes a mobile-optimized contact center simulation, a behavioral assessment, and a cognitive test. Together, these assessments capture the ability to provide exceptional customer service in entry-level contact center roles."
Contact Center Customer Service 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0-4269/,Yes Remote Testing,No IRT,"Simulations, Biodata and situational Judgement, Competencies, Personalities and behavior","Entry-Level,",Approximate Completion Time in minutes = 31,"English (USA), German, Portuguese (Brazil), English International, Latin American Spanish, French (Canada), French,",The Customer Service 8.0 JFA is designed for entry-level positions in a contact center environment where the main focus is customer service.,"passage: Contact Center Customer Service 8.0 | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Simulations, Biodata and situational Judgement, Competencies, Personalities and behavior | Job Level: Entry-Level, | Completion Time: Approximate Completion Time in minutes = 31 | Languages: English (USA), German, Portuguese (Brazil), English International, Latin American Spanish, French (Canada), French, | Description: The Customer Service 8.0 JFA is designed for entry-level positions in a contact center environment where the main focus is customer service."
Contact Center Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/contact-center-manager-short-form/,Yes Remote Testing,Yes IRT,"Ability and aptitude, Biodata and situational Judgement, Personalities and behavior, Simulations","Manager, Supervisor, Front Line Manager,",Approximate Completion Time in minutes = 50,"English (USA),","The Contact Center - Manager solution is for mid to upper-level contact center managerial positions. Sample
tasks for these jobs include, but are not limited to: supervising and coordinating the activities of subordinates;
interacting day-to-day with subordinates; and training employees. Potential job titles that use this solution are:
Contact Center Team Leader, First Line Supervisor, and Contact Center Manager.","passage: Contact Center Manager - Short Form | Remote Testing: Yes Remote Testing | Adaptive/IRT: Yes IRT | Test Types: Ability and aptitude, Biodata and situational Judgement, Personalities and behavior, Simulations | Job Level: Manager, Supervisor, Front Line Manager, | Completion Time: Approximate Completion Time in minutes = 50 | Languages: English (USA), | Description: The Contact Center - Manager solution is for mid to upper-level contact center managerial positions. Sample
tasks for these jobs include, but are not limited to: supervising and coordinating the activities of subordinates;
interacting day-to-day with subordinates; and training employees. Potential job titles that use this solution are:
Contact Center Team Leader, First Line Supervisor, and Contact Center Manager."
Contact Center Sales & Service + 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0/,Yes Remote Testing,No IRT,"Personalities and behavior, Biodata and situational Judgement, Competencies, Ability and aptitude, Simulations","Entry-Level,",Approximate Completion Time in minutes = 41,"English International, English (USA),","The Contact Center + 8.0 - Sales & Service Job Focused Assessment is designed to measure the skills, competencies, and behaviors needed for success in contact center roles that involve sales-related behaviors such as recommending products or services and retaining customers. This JFA includes a mobile-optimized contact center simulation, a behavioral assessment, and a cognitive test. Together, these assessments capture the ability to provide exceptional customer service and drive sales in entry-level contact center roles.","passage: Contact Center Sales & Service + 8.0 | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Personalities and behavior, Biodata and situational Judgement, Competencies, Ability and aptitude, Simulations | Job Level: Entry-Level, | Completion Time: Approximate Completion Time in minutes = 41 | Languages: English International, English (USA), | Description: The Contact Center + 8.0 - Sales & Service Job Focused Assessment is designed to measure the skills, competencies, and behaviors needed for success in contact center roles that involve sales-related behaviors such as recommending products or services and retaining customers. This JFA includes a mobile-optimized contact center simulation, a behavioral assessment, and a cognitive test. Together, these assessments capture the ability to provide exceptional customer service and drive sales in entry-level contact center roles."
Contact Center Sales & Service 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0-4268/,Yes Remote Testing,No IRT,"Simulations, Biodata and situational Judgement, Competencies, Personalities and behavior","Entry-Level,",Approximate Completion Time in minutes = 31,"English International, English (USA),",The Sales & Service 8.0 JFA is designed for contact center roles that involve sales or sales-related behaviors such as recommending products or services and retaining customers.,"passage: Contact Center Sales & Service 8.0 | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Simulations, Biodata and situational Judgement, Competencies, Personalities and behavior | Job Level: Entry-Level, | Completion Time: Approximate Completion Time in minutes = 31 | Languages: English International, English (USA), | Description: The Sales & Service 8.0 JFA is designed for contact center roles that involve sales or sales-related behaviors such as recommending products or services and retaining customers."
Contact Center Team Lead/Coach - Short Form,https://www.shl.com/solutions/products/product-catalog/view/contact-center-team-leadcoach-short-form/,Yes Remote Testing,Yes IRT,"Ability and aptitude, Biodata and situational Judgement, Personalities and behavior, Simulations","Front Line Manager, Professional Individual Contributor, Supervisor,",Approximate Completion Time in minutes = 45,"English (USA),","The Contact Center - Team Lead/Coach solution is for job candidates applying to entry-level leadership
positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited
to: planning and preparing work schedules; assigning employees to specific duties; coaching employees on
attendance, conduct, schedule adherence, and work tasks; developing employees' skills; training subordinates
or less tenured peers; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal
guidance from others. Potential job titles that use this solution are: Team Leader, Coach, First Line Supervisor,
Processing Supervisor, Call Center Supervisor, and Customer Service Supervisor.","passage: Contact Center Team Lead/Coach - Short Form | Remote Testing: Yes Remote Testing | Adaptive/IRT: Yes IRT | Test Types: Ability and aptitude, Biodata and situational Judgement, Personalities and behavior, Simulations | Job Level: Front Line Manager, Professional Individual Contributor, Supervisor, | Completion Time: Approximate Completion Time in minutes = 45 | Languages: English (USA), | Description: The Contact Center - Team Lead/Coach solution is for job candidates applying to entry-level leadership
positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited
to: planning and preparing work schedules; assigning employees to specific duties; coaching employees on
attendance, conduct, schedule adherence, and work tasks; developing employees' skills; training subordinates
or less tenured peers; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal
guidance from others. Potential job titles that use this solution are: Team Leader, Coach, First Line Supervisor,
Processing Supervisor, Call Center Supervisor, and Customer Service Supervisor."
Contact Centre Agent Solution - UK,https://www.shl.com/solutions/products/product-catalog/view/contact-centre-agent-solution-uk/,Yes Remote Testing,No IRT,"Ability and aptitude, Biodata and situational Judgement, Personalities and behavior, Simulations","Entry-Level,",Approximate Completion Time in minutes = 39,"English International,","This solution is used for job candidates applying to entry-level positions in a contact centre environment where the main focus of the job is customer service. The candidate answers multiple choice questions as well as questions in a customer call simulation environment. The solution measures: working with information, customer focus, contact centre retention, navigation, service orientation, and tactful problem solving. In addition, the solution measures data entry speed and accuracy, multi-tasking preferences, achievement orientation and conscientiousness.","passage: Contact Centre Agent Solution - UK | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Ability and aptitude, Biodata and situational Judgement, Personalities and behavior, Simulations | Job Level: Entry-Level, | Completion Time: Approximate Completion Time in minutes = 39 | Languages: English International, | Description: This solution is used for job candidates applying to entry-level positions in a contact centre environment where the main focus of the job is customer service. The candidate answers multiple choice questions as well as questions in a customer call simulation environment. The solution measures: working with information, customer focus, contact centre retention, navigation, service orientation, and tactful problem solving. In addition, the solution measures data entry speed and accuracy, multi-tasking preferences, achievement orientation and conscientiousness."
Customer Service - Short Form,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form/,Yes Remote Testing,Yes IRT,"Ability and aptitude, Biodata and situational Judgement, Personalities and behavior","Entry-Level,",Approximate Completion Time in minutes = 42,"English (USA), English International,","The Customer Service Representative Solution is for entry-level positions that involve a high degree of interaction with customers in person or on the phone. Sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; responding positively to difficult customers; referring unresolved issues to the appropriate individuals; providing information on products and/or services. Potential job titles that use this solution are: Account Service Representative, Account Representative, Customer Service Representative, and Customer Service Agent.","passage: Customer Service - Short Form | Remote Testing: Yes Remote Testing | Adaptive/IRT: Yes IRT | Test Types: Ability and aptitude, Biodata and situational Judgement, Personalities and behavior | Job Level: Entry-Level, | Completion Time: Approximate Completion Time in minutes = 42 | Languages: English (USA), English International, | Description: The Customer Service Representative Solution is for entry-level positions that involve a high degree of interaction with customers in person or on the phone. Sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; responding positively to difficult customers; referring unresolved issues to the appropriate individuals; providing information on products and/or services. Potential job titles that use this solution are: Account Service Representative, Account Representative, Customer Service Representative, and Customer Service Agent."
Customer Service - Short Form - UK,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form-uk/,Yes Remote Testing,Yes IRT,"Ability and aptitude, Biodata and situational Judgement, Personalities and behavior","Entry-Level,",Approximate Completion Time in minutes = 42,"English International,","The Customer Service Representative solution is for entry-level positions that involve
a high degree of interaction with customers in person or on the phone. Sample tasks
for this job include, but are not limited to: taking orders; solving product or service
issues; responding positively to difficult customers; referring unresolved issues to the
appropriate individuals; providing information on products and/or services. Potential
job titles that use this solution are: Account Service Representative, Account
Representative, Customer Service Representative, and Customer Service Agent.","passage: Customer Service - Short Form - UK | Remote Testing: Yes Remote Testing | Adaptive/IRT: Yes IRT | Test Types: Ability and aptitude, Biodata and situational Judgement, Personalities and behavior | Job Level: Entry-Level, | Completion Time: Approximate Completion Time in minutes = 42 | Languages: English International, | Description: The Customer Service Representative solution is for entry-level positions that involve
a high degree of interaction with customers in person or on the phone. Sample tasks
for this job include, but are not limited to: taking orders; solving product or service
issues; responding positively to difficult customers; referring unresolved issues to the
appropriate individuals; providing information on products and/or services. Potential
job titles that use this solution are: Account Service Representative, Account
Representative, Customer Service Representative, and Customer Service Agent."
Customer Service with Sales - Short Form,https://www.shl.com/solutions/products/product-catalog/view/customer-service-with-sales-short-form/,Yes Remote Testing,Yes IRT,"Ability and aptitude, Biodata and situational Judgement, Personalities and behavior","Entry-Level,",Approximate Completion Time in minutes = 44,"English (USA),","The Customer Service with Sales solution is for entry-level positions that involve both providing service and support to customers and selling goods and services. Sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; selling products and services; responding positively to difficult customers; adding new goods and services to existing accounts; providing information on products and/or services. Potential job titles that use this solution are: Account Service Representative, Account Representative, Customer Service Representative, and Sales Representative.","passage: Customer Service with Sales - Short Form | Remote Testing: Yes Remote Testing | Adaptive/IRT: Yes IRT | Test Types: Ability and aptitude, Biodata and situational Judgement, Personalities and behavior | Job Level: Entry-Level, | Completion Time: Approximate Completion Time in minutes = 44 | Languages: English (USA), | Description: The Customer Service with Sales solution is for entry-level positions that involve both providing service and support to customers and selling goods and services. Sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; selling products and services; responding positively to difficult customers; adding new goods and services to existing accounts; providing information on products and/or services. Potential job titles that use this solution are: Account Service Representative, Account Representative, Customer Service Representative, and Sales Representative."
